Summarize (3): E - E0
level 000:  E: 9838.12 (0.06) ZPE
level 001:  E: 360.86 (0.09) v11
level 003:  E: 723.56 (0.09) 2v11
level 004:  E: 723.15 (0.09) v11 + v12
level 006:  E: 900.48 (0.10) v4
level 007:  E: 1034.76 (0.10) v9
level 009:  E: 1087.99 (0.09) 3v11
level 012:  E: 1087.93 (0.09) 3v12
level 010:  E: 1086.91 (0.09) 2v11 + v12
level 013:  E: 1259.24 (0.10) v4 + v11
level 015:  E: 1394.45 (0.10) v3
level 016:  E: 1394.92 (0.10) v9 + v11
level 017:  E: 1395.49 (0.10) v10 + v11
level 018:  E: 1395.33 (0.10) v9 + v12
level 021:  E: 1452.51 (0.09) 3v11 + v12
level 025:  E: 1484.77 (0.11) v7
level 027:  E: 1619.65 (0.10) v4 + 2v11
level 028:  E: 1619.20 (0.10) v4 + v11 + v12
level 030:  E: 1755.55 (0.10) v3 + v11
level 032:  E: 1757.05 (0.10) v9 + 2v11
level 037:  E: 1757.30 (0.10) v10 + 2v12
level 034:  E: 1756.90 (0.10) v9 + v11 + v12
level 033:  E: 1758.09 (0.10) v10 + 2v11
level 044:  E: 1784.29 (0.12) 2v4
level 046:  E: 1845.53 (0.10) v8 + v11
level 047:  E: 1845.68 (0.11) v7 + v12
level 045:  E: 1845.80 (0.11) v7 + v11
level 049:  E: 1932.57 (0.11) v4 + v9
level 051:  E: 1981.87 (0.10) v4 + 3v11
level 054:  E: 1982.12 (0.11) v4 + 3v12
level 052:  E: 1980.88 (0.10) v4 + 2v11 + v12
level 056:  E: 2067.11 (0.12) v9 + v10
level 055:  E: 2063.62 (0.12) 2v9
level 058:  E: 2118.41 (0.10) v3 + 2v11
level 059:  E: 2118.16 (0.10) v3 + v11 + v12
level 061:  E: 2120.69 (0.10) v9 + 3v11
level 063:  E: 2120.15 (0.10) v9 + 2v11 + v12
level 064:  E: 2120.70 (0.10) v10 + 2v11 + v12
level 062:  E: 2122.19 (0.10) v10 + 3v11
level 065:  E: 2120.47 (0.10) v9 + v11 + 2v12
level 076:  E: 2140.63 (0.12) 2v4 + v11
level 078:  E: 2208.69 (0.11) v7 + 2v11
level 083:  E: 2208.83 (0.11) v8 + 2v12
level 079:  E: 2208.35 (0.11) v8 + 2v11
level 080:  E: 2208.07 (0.11) v7 + v11 + v12
